time,ue_id,source_enb,target_enb,algorithm,success,latency_ms,throughput_loss_ms
8.728341133515165,14,3,1,RL-Optimized,True,11.2518299741897,4.9340911720449565
5.272840811619288,10,2,3,Distance-Based,True,8.412396777589732,3.647270652985891
9.184275161095727,13,6,2,Distance-Based,True,12.959423626483526,2.580702195689623
26.598834496833234,0,1,3,RSRP-Based,True,11.533111670458148,2.5968086623743796
21.766903306052072,5,1,2,RSRP-Based,True,14.83417147048307,2.608306720260383
32.2777031686535,2,1,7,Distance-Based,True,10.66382956255152,1.2066999833492424
35.262448483900826,5,3,6,Distance-Based,True,18.453864177546258,3.9131315653629795
48.57270777592964,18,3,5,RL-Optimized,True,10.780135407854264,3.3480030459266867
41.059181089236006,12,2,6,Distance-Based,True,17.470347166790617,2.8859629070754584
51.239056221008276,17,3,2,RSRP-Based,True,19.150208038892224,1.551043217789851
72.08887881698425,18,7,3,Distance-Based,True,14.765588523707265,2.1271714678673117
80.55091055370326,7,7,2,Digital Twin,True,13.62888272305979,2.354720533309327
83.15883548300344,0,4,3,Digital Twin,True,14.580731398961474,2.1988929508792507
85.31396218176376,4,4,1,Digital Twin,True,11.02313957098897,4.0065283512877485
99.90448393294582,11,7,6,RL-Optimized,True,12.842920499238817,1.9892679914553129
94.18660965667183,11,7,5,Digital Twin,True,8.001654835569393,2.271701649044025
91.26461851847282,7,2,6,RSRP-Based,True,8.251744459795148,1.3083122495734516
103.69071837161107,9,2,7,RSRP-Based,True,10.897412830075856,2.505570467698974
109.46573333674063,18,3,7,RL-Optimized,True,12.416402090547045,4.106560604632071
124.22770528600473,13,2,7,RSRP-Based,True,19.624537065117142,4.2302094730387525
136.42549580060546,15,6,2,Digital Twin,True,14.765117135664486,3.243265205024983
137.0146835423883,6,2,6,RL-Optimized,True,16.48500646082325,4.794577465774456
140.15597387714854,13,7,3,Distance-Based,True,13.202466680255174,2.6772391214142157
157.8771345577287,16,5,3,RSRP-Based,True,12.83411880857,2.3557089439768215
158.330607161588,6,6,7,RL-Optimized,True,11.141163623920319,1.9780339048087985
155.16319195536732,7,7,1,Distance-Based,True,19.14557734745306,4.342523405132258
162.50276902920706,15,2,5,RL-Optimized,True,11.937891327211302,2.879290950142955
171.73809672466962,12,5,7,Digital Twin,True,8.246939422247252,2.745747468116541
171.57250398249576,4,7,3,Digital Twin,True,8.477520359630834,1.7833282039466187
173.038509450107,1,4,2,RL-Optimized,True,14.902719436658595,4.254777081691165
185.76331373020554,12,1,2,RSRP-Based,True,16.64316118730358,3.6252729159924906
181.02743498132904,1,7,1,RL-Optimized,True,15.995087021308471,3.6298685814526093
190.40257197753536,12,6,3,RL-Optimized,True,13.782327126781775,1.422884694311068
190.72974661657813,3,6,2,RSRP-Based,True,12.573277845783515,2.8097808645364997
201.73620181343392,4,2,1,Digital Twin,True,16.43491585541969,3.3651206190339065
204.33787182135055,14,7,6,RL-Optimized,True,8.857879097688635,3.2726771552814378
206.82514145830936,19,7,4,RSRP-Based,True,18.934483772906678,4.96561915928825
201.2577802196102,19,1,4,RSRP-Based,True,14.172687952282592,1.8597151243563976
214.93420620073113,7,2,1,RL-Optimized,True,18.03930461812199,3.374638525820253
210.26055886018005,6,1,4,RSRP-Based,True,8.73106213687749,4.185363404190181
229.19749926540035,4,3,2,Digital Twin,False,25.870709482623177,24.266964466700138
227.69461446746175,12,3,6,RL-Optimized,True,17.848488835436047,1.4177576013519997
225.02504036506005,3,6,3,Digital Twin,True,13.181092061938037,1.592691257360498
230.3036966277457,12,6,2,Distance-Based,True,15.728593268624476,4.836863824035814
232.26898828325218,17,5,7,RSRP-Based,True,8.138223237815033,2.9808455206593885
242.25031732926166,13,5,7,Distance-Based,True,16.206681471056175,1.2822006219578252
243.39949993747763,6,7,6,RSRP-Based,True,17.327888108888885,4.4973019080335925
248.19833984101064,2,6,5,Distance-Based,True,16.09844941544833,2.8040155031675225
242.54757979521636,4,2,3,Digital Twin,True,13.653137519155624,1.7240483003044282
264.4938254287775,8,1,2,RSRP-Based,True,14.411012846325608,1.1456920509446338
